N,p,Pr,Pc,rep,rank,seq,t_start,t_end,phase,kind,k,peer,tag,dur_sec
8000,64,8,8,1,55,0,0.000000000,0.616148953,scatter_a,recv,7,0,100,0.616148953
8000,64,8,8,1,55,1,0.616151083,1.253227016,scatter_b,recv,6,0,200,0.637075933
8000,64,8,8,1,55,2,1.253232148,1.253243229,k_loop,alloc,0,-1,100,0.000011081
8000,64,8,8,1,55,3,1.253243594,1.257791348,k_loop,recv,0,48,100,0.004547754
8000,64,8,8,1,55,4,1.257792306,1.257802519,k_loop,alloc,0,-1,200,0.000010213
8000,64,8,8,1,55,5,1.257802972,1.506837822,k_loop,recv,0,7,200,0.249034850
8000,64,8,8,1,55,6,1.506840516,4.100573512,k_loop,compute,0,-1,-1,2.593732996
8000,64,8,8,1,55,7,4.101103784,4.101122693,k_loop,alloc,1,-1,101,0.000018909
8000,64,8,8,1,55,8,4.101123316,9.504822775,k_loop,recv,1,49,101,5.403699459
8000,64,8,8,1,55,9,9.505344992,9.505357914,k_loop,alloc,1,-1,201,0.000012922
8000,64,8,8,1,55,10,9.505358569,9.744728944,k_loop,recv,1,15,201,0.239370375
8000,64,8,8,1,55,11,9.744731025,12.329817114,k_loop,compute,1,-1,-1,2.585086089
8000,64,8,8,1,55,12,12.329835719,12.329836278,k_loop,alloc,2,-1,102,0.000000559
8000,64,8,8,1,55,13,12.329836767,17.556742156,k_loop,recv,2,50,102,5.226905389
8000,64,8,8,1,55,14,17.556754727,17.556754965,k_loop,alloc,2,-1,202,0.000000238
8000,64,8,8,1,55,15,17.556755377,17.695603802,k_loop,recv,2,23,202,0.138848425
8000,64,8,8,1,55,16,17.695606865,20.232664772,k_loop,compute,2,-1,-1,2.537057907
8000,64,8,8,1,55,17,20.232669109,20.232669817,k_loop,alloc,3,-1,103,0.000000708
8000,64,8,8,1,55,18,20.232670215,25.657404963,k_loop,recv,3,51,103,5.424734748
8000,64,8,8,1,55,19,25.657420483,25.657421045,k_loop,alloc,3,-1,203,0.000000562
8000,64,8,8,1,55,20,25.657421510,25.866899150,k_loop,recv,3,31,203,0.209477640
8000,64,8,8,1,55,21,25.866901611,28.325352932,k_loop,compute,3,-1,-1,2.458451321
8000,64,8,8,1,55,22,28.325357456,28.325358054,k_loop,alloc,4,-1,104,0.000000598
8000,64,8,8,1,55,23,28.325358417,34.171852530,k_loop,recv,4,52,104,5.846494113
8000,64,8,8,1,55,24,34.171879705,34.171880171,k_loop,alloc,4,-1,204,0.000000466
8000,64,8,8,1,55,25,34.171880654,34.200550359,k_loop,recv,4,39,204,0.028669705
8000,64,8,8,1,55,26,34.200553124,36.775981857,k_loop,compute,4,-1,-1,2.575428733
8000,64,8,8,1,55,27,36.775985396,36.775985720,k_loop,alloc,5,-1,105,0.000000324
8000,64,8,8,1,55,28,36.775986149,42.396071784,k_loop,recv,5,53,105,5.620085635
8000,64,8,8,1,55,29,42.396077850,42.396078331,k_loop,alloc,5,-1,205,0.000000481
8000,64,8,8,1,55,30,42.396079019,42.414173607,k_loop,recv,5,47,205,0.018094588
8000,64,8,8,1,55,31,42.414176892,44.906416206,k_loop,compute,5,-1,-1,2.492239314
8000,64,8,8,1,55,32,44.906422564,44.906423529,k_loop,alloc,6,-1,106,0.000000965
8000,64,8,8,1,55,33,44.906424216,50.359947527,k_loop,recv,6,54,106,5.453523311
8000,64,8,8,1,55,34,50.359958102,50.363238685,k_loop,send,6,7,206,0.003280583
8000,64,8,8,1,55,35,50.363248751,50.368541103,k_loop,send,6,15,206,0.005292352
8000,64,8,8,1,55,36,50.368543505,50.406527599,k_loop,send,6,23,206,0.037984094
8000,64,8,8,1,55,37,50.406529541,50.667131070,k_loop,send,6,31,206,0.260601529
8000,64,8,8,1,55,38,50.667133038,50.669820967,k_loop,send,6,39,206,0.002687929
8000,64,8,8,1,55,39,50.669821937,50.675404213,k_loop,send,6,47,206,0.005582276
8000,64,8,8,1,55,40,50.675405094,50.678087700,k_loop,send,6,63,206,0.002682606
8000,64,8,8,1,55,41,50.678088320,53.175107189,k_loop,compute,6,-1,-1,2.497018869
8000,64,8,8,1,55,42,53.175109987,57.965482047,k_loop,send,7,48,107,4.790372060
8000,64,8,8,1,55,43,57.965485094,57.968365578,k_loop,send,7,49,107,0.002880484
8000,64,8,8,1,55,44,57.968366091,57.971364110,k_loop,send,7,50,107,0.002998019
8000,64,8,8,1,55,45,57.971365325,57.973782614,k_loop,send,7,51,107,0.002417289
8000,64,8,8,1,55,46,57.973783967,58.716025422,k_loop,send,7,52,107,0.742241455
8000,64,8,8,1,55,47,58.716028489,58.718587693,k_loop,send,7,53,107,0.002559204
8000,64,8,8,1,55,48,58.718589128,58.723168817,k_loop,send,7,54,107,0.004579689
8000,64,8,8,1,55,49,58.723185168,58.723185795,k_loop,alloc,7,-1,207,0.000000627
8000,64,8,8,1,55,50,58.723186336,58.979657877,k_loop,recv,7,63,207,0.256471541
8000,64,8,8,1,55,51,58.979660665,61.476936415,k_loop,compute,7,-1,-1,2.497275750
8000,64,8,8,1,55,52,61.478255255,67.499940956,gather,send,-1,0,300,6.021685701
