N,p,Pr,Pc,rep,time_sec
8000,64,8,8,1,67.122575198
8000,32,8,4,1,87.222152152
8000,16,4,4,1,170.543077901
8000,8,4,2,1,471.825548739
8000,4,2,2,1,934.652111372
8000,2,2,1,1,5714.264255549
8000,1,1,1,1,4225.325558071
8000,64,8,8,2,67.876522370
8000,32,8,4,2,87.095156206
8000,16,4,4,2,171.029037872
8000,8,4,2,2,466.977738719
8000,4,2,2,2,935.509211008
8000,2,2,1,2,5729.496118878
8000,1,1,1,2,4177.297067485
8000,64,8,8,3,67.406947884
8000,32,8,4,3,87.069514401
8000,16,4,4,3,170.824623709
8000,8,4,2,3,467.620815950
8000,4,2,2,3,931.765604974
8000,2,2,1,3,5734.031780839
8000,1,1,1,3,4153.745182494
8000,64,8,8,4,67.572471038
8000,32,8,4,4,87.203079839
8000,16,4,4,4,171.228425729
8000,8,4,2,4,467.535730517
8000,4,2,2,4,931.995036676
8000,2,2,1,4,5732.004666506
8000,1,1,1,4,4190.859029617
8000,64,8,8,5,67.394791314
8000,32,8,4,5,87.372122169
8000,16,4,4,5,170.161958751
8000,8,4,2,5,466.100128097
8000,4,2,2,5,932.745980467
8000,2,2,1,5,5680.007801375
8000,1,1,1,5,4335.507562830
